product_name,product_price,installment_price,free_shipment
 Civil War Portada Wolverine Marvel Deluxe Pasta Dura ,650.0,64.21,True
 Comic Marvel Spider-man Symbiote Saga Completa 5 Comics ,279.0,23.25,False
 El Asombroso Hombre Araña Varios Números Novedades 1985 92 ,69.0,,False
 Marvel Zombies Return Completo Con Variantes Televisa 2018 ,580.0,57.3,True
 Comic Invader Zim Lote 01 - 16 Editorial Kamite Envío Nuevos ,699.0,58.25,True
 Cómic Dc Clásicos Modernos: Batman: Preludio A Knightfall ,399.0,33.25,False
 Marvel Grandes Eventos Spider-man: Maximum Carnage Sellado ,349.0,29.08,False
 Sandman Vol.9 Vertigo Deluxe Pasta Dura ,650.0,64.21,True
 Comic Marvel Grandes Eventos Marvel Zombies Español Sellado ,499.0,41.58,True
 Comic Batman Damned Libro Tres Nuevo Sellado Azarello Españo ,197.0,16.42,False
 Star Wars Legends Tomo 8 Jedi Vs Sith En Español Nuevo ,199.0,16.67,True
 Comic Hellboy # 8 La Oscuridad Llama Mike Mignola ,229.0,19.08,False
 Dc Clásicos Modernos: Batman: Knightfall Vol. 1. ,350.0,34.58,False
 Dark Nights Metal Batman Who Laughs Vol.1 Dc Televisa 2018 ,109.0,10.77,False
 Paquete De Tarjetas De Caballeros Del Zodiaco O Galaxi 5pop ,169.0,16.7,False
 Comic Marvel Old Man Logan Volumen 1 Berserker Español ,189.0,15.75,False
 Comic Marvel Spider-geddon Tomo Completo Sellado Español ,199.0,16.58,False
 Costalito Navidadeño 50 X 90 Cm De Manta ,255.0,25.19,True
 Flashpoint Dc Deluxe Pasta Dura ,470.0,46.43,False
 Comic Batman Rebirth Detective Comics # 13 Liga De Sombras ,69.0,,False
 Ultimate Spider-man Marvel Deluxe Pasta Dura ,470.0,46.43,False
 Spider-man Spider-verse Vol. 2 Marvel Grandes Eventos Comic ,349.0,34.48,False
 Batman Who Laughs Completa Dc Televisa 2019 ,1060.0,104.72,True
 Sandman Vol.6 Fabulas Y Reflejos Vertigo Neil Gaiman ,470.0,46.43,False
 Comic Bartman # 1 Español Nuevo Kamite Sellado ,49.0,,False
 Batman Detective Comics # 1000 Paquete 11 Portadas Nuevas ,999.0,83.25,True
 Marvel Movie Collection Fasiculo # 18 Yondu Esc 1:16 ,549.0,54.24,True
 Comic Batman Muerte De La Familia Tomo Completo Español ,299.0,24.92,False
 Comic Scott Pilgrim Tomo 2 Deluxe Kamite Nuevo Sellado ,339.0,28.25,False
 Anillo Linterna Verde Green Lantern Corps Juramen Tallas Igo ,399.0,39.42,False
 Novela Grafica: Lost At Sea Nuevo En Español Kamite Deluxe ,349.0,29.08,False
 House Of M Marvel Best Sellers ,300.0,29.64,False
 Secret Invasion - Marvel Comics Bestsellers ,180.0,17.78,False
 Termo Homero Simpson Personalizable ,385.0,,True
 Comic Saga Completa Scott Pilgrim 6 Tomos Color Tapa Deluxe ,2299.0,191.58,True
 Batman Detective Comic Vol.1000 Alex Ross Televisa 2019 ,230.0,22.72,False
 Ultimate Comics Spiderman Televisa Numeros Sueltos ,35.0,,False
 Rachel Rising. Comics ,40.0,,False
 Comic The Umbrella Academy Vol. 3: Hotel Olvido Gerard Way ,229.0,19.08,False
 Libro: El Maestro Y Margarita Autor: Mijaíl Bulgákov ,199.0,,True
 Dc Comics Deluxe: Dark Nights Metal: The Resistance Sellado ,599.0,59.18,True
 Comic Marvel Basicos Venom El Abismo Completo Sellado ,169.0,14.08,False
 Comic Hellboy # 7 La Bruja Trol Y Otras Historias Sellado ,219.0,18.25,False
 Comic Universo Dc Batman Dias Frios Tom King Sellado ,169.0,14.08,False
 Astérix Colección Salvat Números 23 Al 30 ,280.0,27.66,False
 Libro: Vuelta Al Mundo En (nov. Gráfica) Autor: Julio Verne ,157.0,,True
 Injustice Año 1 Vol.1 Y 2 Dc Definitive Edition ,650.0,64.21,True
 Venom Protector Letal Portada 2 Marvel Monster Edition ,240.0,23.71,False
 Comic Superman Vid ,210.0,20.75,True
 Amazing Spider-man Saga Del Traje Alienigena 1 Marvel Deluxe ,700.0,69.15,True
 Spider-man: La Saga Del Traje Alienigena Libro Uno Español ,649.0,54.08,True
 Comic Dc Black Label: Joker Nuevo Sellado Español ,549.0,45.75,True
 Comics La Familia Burron 2a Epoca 1987 A 1990 Varios Números ,79.0,,False
 Comic De Batman Death Of The Family Book And Joker Mark Set ,899.0,74.92,True
 Comic Marvel Aventuras Marvel Comics #1000 Portada Variante ,109.0,9.08,False
" Comic De Batman Death Of The Family, Set De Libro Y Mascara ",797.0,78.74,True
 Comic Hellboy # 6 Lugares Extraños Mike Mignola Sellado ,249.0,20.75,False
 70 Bolsas Deluxe 50 Monster 200 Con Cartón Grapa ,450.0,37.5,False
" Construye Tu Jeep Willys Mb, Entrega No 1 Al 27 C/u Por ",309.0,30.53,False
 Comic Hellblazer Pecados Originales John Constantine Deluxe ,499.0,41.58,True
 The Witcher Vol. 1 Casa De Cristal Comic ,210.0,20.75,False
 Comic Batman: Jekyll & Hyde Saga Completa Español ,199.0,16.58,False
 Comic Dc Comics Deluxe Batman Catwoman El Album De Bodas ,499.0,41.58,True
 Revista Batman Lego #1 Panini ,99.0,,False
 Comic Marvel Deadpool Kills The Marvel Universe Nuevo Ingles ,349.0,29.08,False
 Batman Catwoman El Album De Bodas Dc Deluxe Pasta Dura ,470.0,46.43,False
 Sandman Vol.3 Pais De Sueños Vertigo Neil Gaiman Pasta Dura ,470.0,46.43,False
 Simpsons Comics Numeros Sueltos ,35.0,,False
